District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
nawabshah,NA-213,independent,82,199182,6044,205226,374425,54.81,2013
okara,NA-147,independent,18,95961,0,96809,322087,30.06,2008
kamber,NA-202,pakistan peoples party parlimentarian,72159,127881,10727,138608,324402,42.73,2018
faisalabad,NA-107,tehreek-e-labbaik pakistan,9034,0,0,0,0,57.52,2018
rahimyar,NA-179,independent,346,0,0,0,0,57.25,2018
rahimyar,NA-175,pakistan tehreek-e-insaf,96967,236534,6210,242744,429706,56.49,2018
korangi,NA-240,muttahida qaumi movement,61165,174958,2801,177759,475523,37.38,2018
tribal area,NA-42,independent,12,12649,208,12507,108056,11.57,2013
khuzdar,NA-269,balochistan national movement,24359,56409,2621,59030,252902,23.34,2002
gujranwala,NA-101,independent,415,143821,4897,148718,302628,49.14,2002
okara,NA-146,pakistan muslim league (q),48587,111298,4633,115931,248891,46.58,2002
karachi,NA-245,pak sarzameen party,6136,0,0,0,0,37.49,2018
malakand,NA-35,muttahidda majlis-e-amal,37663,69576,1915,71491,206496,34.62,2002
lahore,NA-120,independent,10,151403,2031,153328,295826,51.85,2013
hyderabadii old hyderabad,NA-220,pakistan muslim league (n),2215,174781,1866,177070,364798,48.53,2008
swat,NA-3,awami national party,21895,0,0,0,0,40.35,2018
karach,NA-258,independent,97,171331,4226,175557,393793,44.58,2013
pishin cum ziarat,NA-261,independent,564,71016,4045,75061,270777,27.7,2002
malir,NA-236,independent,156,0,0,0,0,50.4,2018
lahore,NA-129,pakistan national democratic party,191,147257,3392,148012,273648,54.08,2013
sheikhupuraiicumnankana sahib old  sheikhupura,NA-132,independent,199,160238,5378,165569,291232,56.85,2013
bahawalpur,NA-172,independent,744,0,0,0,0,64.08,2018
khushab,NA-70,pakistan muslim league (q),52983,141809,3075,144884,256511,56.48,2002
rahimyar khan,NA-194,pakistan peoples party parlimentarian,59630,135758,3147,138905,300057,46.29,2002
abbottabad,NA-18,muttahidda majlis-e-amal,2373,150979,3843,154603,347770,44.26,2008
kasur,NA-138,muttahidda majlis-e-amal,11408,116211,3545,119756,245303,48.82,2002
tribal area,NA-36,independent,16,22873,390,23263,126007,18.15,2008
khanewal,NA-157,pakistan muslim league (n),52517,139994,2584,142578,303984,46.9,2002
faisalabad,NA-104,independent,57362,0,0,0,0,55.88,2018
kohistan,NA-11,independent,26,0,0,0,0,40.89,2018
bahawalnagar,NA-167,pakistan muslim league (n),91349,209060,6500,215560,379417,56.81,2018
faisalabad,NA-83,muttahida qaumi movement,52,104403,1553,105956,282919,37.45,2002
haripur,NA-19,pakistan muslim league (n),114807,288057,8467,295471,531865,55.55,2013
islamabad,NA-48,independent,93,104409,548,104902,239924,43.72,2008
mansehra,NA-13,pak sarzameen party,751,0,0,0,0,59.66,2018
sahiwal,NA-147,independent,191,0,0,0,0,56.04,2018
sahiwal,NA-163,pakistan muslim league,39864,131852,3771,134803,219426,61.43,2008
kasur,NA-140,independent,1106,0,0,0,0,60.65,2018
attock,NA-57,independent,444,182125,5464,186122,353751,52.61,2013
sheikhupuraii old sheikhupura,NA-133,independent,19,97934,3959,101893,222833,45.73,2008
tribal,NA-44,independent,72,0,0,0,0,25.32,2018
karachi,NA-257,mohajar qaumi movement pakistan,6433,105413,1630,107043,256535,41.7,2002
tribal area,NA-47,independent,2222,47706,402,46123,131222,35.14,2008
lahore,NA-120,independent,41,96275,1160,97433,268552,36.28,2008
lahore,NA-128,independent,121,220114,3174,220976,418384,64.0,2013
ghotki,NA-200,independent,195,142454,7101,149555,296064,50.51,2008
bahawalnagar,NA-167,pakistan muslim league (n),91349,209060,6500,215560,379417,56.81,2018
lahore,NA-123,pakistan muslim league (n),44146,0,0,0,288994,0.0,2008
nowshera,NA-25,awami national party,26506,0,0,0,0,48.79,2018
faisalabad,NA-110,sunni ittehad council,5085,0,0,0,0,57.01,2018
multan,NA-149,pakistan peoples party parlimentarian,31085,87083,1168,88251,316900,27.85,2002
kohistan,NA-11,independent,111,0,0,0,0,40.89,2018
sargodha,NA-67,independent,2007,222840,8161,228217,365609,63.02,2013
attock,NA-58,pakistan muslim league (n),85244,220811,7137,226165,359058,83.09,2013
jhang,NA-91,independent,36173,136876,3562,140438,261795,53.64,2002
lahore,NA-127,independent,16,93052,1338,94390,279080,33.82,2008
badin,NA-224,pakistan peoples party parlimentarian,70231,139013,2582,141595,364228,38.9,2002
rajanpur,NA-174,jamiat ulama-e-pakistan (noorani),80,211060,10187,219916,369102,59.52,2013
gujranwala,NA-99,independent,17117,179614,6044,178899,318029,56.25,2013
karachi,NA-252,mohajar qaumi movement pakistan,147,73068,951,74019,222482,33.3,2002
peshawar,NA-3,independent,679,173647,5276,177823,384086,46.3,2013
attock,NA-59,pakistan peoples party parlimentarian,31726,191704,7137,198841,309334,64.0,2013
bahawalnagar,NA-169,pakistan muslim league (n),91763,242832,4949,247781,410644,60.34,2018
layyah,NA-188,pakistan tehreek-e-insaf,109420,279417,8076,287493,449098,64.02,2018
mardan,NA-22,awami national party,27104,0,0,0,0,51.59,2018
faisalabad,NA-79,pakistan muslim league,4660,192563,7322,190941,335868,56.85,2013
tribal area,NA-37,independent,6,87090,206,87296,141190,61.82,2008
lahore,NA-132,tehreek-e-labbaik pakistan,7305,0,0,0,0,60.45,2018
mardan,NA-11,pakistan peoples party parlimentarian,26928,132539,3970,136212,329285,42.0,2013
jhelum,NA-63,independent,299,203481,5273,208229,386957,53.87,2013
sheikhupura,NA-122,independent,144,0,0,0,0,57.83,2018
mansehra,NA-20,pakistan tehreek-e-insaf,250,117395,3379,120774,327352,36.89,2002
sargodha,NA-67,independent,104,170981,3496,174471,372351,46.85,2008
quetta,NA-266,independent,179,0,0,0,0,34.3,2018
peshawar,NA-3,muttahidda majlis-e-amal,33567,67357,1955,69312,226299,30.63,2002
dikhan,NA-24,pakistan peoples party parlimentarian,83560,138631,4287,142843,347165,41.14,2008
sahiwal,NA-161,pakistan shia political party,42855,122960,4701,127661,270851,47.13,2002
jhang,NA-89,independent,36,112947,3525,116472,244542,47.63,2002
kohistan,NA-23,muttahidda majlis-e-amal,5418,53086,3386,56472,317734,16.7,2008
sargodha,NA-67,pakistan muslim league,97361,222840,8161,228217,365609,63.02,2013
tribal,NA-44,independent,1693,0,0,0,0,25.32,2018
naushero feroze,NA-212,independent,6401,158163,3930,162084,376544,43.04,2008
karachi,NA-244,mohajir qaumi movement pakistan,152,0,0,0,0,41.91,2018
tribal area,NA-37,independent,2,87090,206,87296,141190,61.82,2008
islamabad,NA-49,pakistan peoples party parlimentarian,44984,214364,1406,216008,334241,64.36,2013
badincumtando muhammad khaniiold badin,NA-225,pakistan muslim league (f),65258,182765,9715,192434,320072,60.12,2013
chitral,NA-32,pakistan peoples party parlimentarian,19877,124946,6574,131520,208810,63.66,2013
badincumtando muhammad khani old badin,NA-224,independent,268,130012,8728,138742,331871,41.8,2008
charsadda,NA-8,pakistan peoples party parlimentarian,3848,139141,4625,143540,327423,43.63,2013
faisalabad,NA-78,pakistan muslim league (q),57071,136169,5110,141279,311445,45.36,2002
islamabad,NA-48,independent,23,173189,1042,173968,292142,59.55,2013
tribal area,NA-39,independent,9,47602,231,47833,125687,38.05,2013
kasur,NA-140,independent,59,133167,2350,130004,230446,56.41,2008
nausheroferoze,NA-211,national alliance,83403,129232,2610,131842,329798,40.0,2002
gujrat,NA-105,pakistan peoples party parlimentarian,79735,146179,3638,150621,332332,45.32,2008
gujranwala,NA-82,tehreek tabdili nizam pakistan,935,0,0,0,0,52.26,2018
mianwal,NA-72,pakistan peoples party parlimentarian,1102,230577,8483,237444,371374,63.69,2013
muzaffargarh,NA-177,mutahida deeni mahaz,8948,221919,8141,289210,357013,64.02,2013
vehari,NA-170,pakistan peoples party parlimentarian,73014,140985,4152,145137,282646,51.35,2002
bahawalnagar,NA-191,jamaat-e-islami pakistan,1240,206143,5861,211774,326972,84.77,2013
malir,NA-238,pasban pakistan,68,0,0,0,0,44.0,2018
karachi,NA-240,muttahidda majlis-e-amal,22764,86444,892,87336,222359,39.3,2002
hafizabad,NA-103,pakistan muslim league,56791,121383,4100,125483,198007,63.37,2008
vehari,NA-167,pakistan peoples party parlimentarian,74308,152880,1367,154247,363091,42.48,2008
larkana,NA-205,independent,346,90414,2219,92633,272435,34.0,2002
chakwal,NA-61,independent,126,275247,9752,272744,443677,61.0,2013
multan,NA-152,pakistan muslim league,38126,135092,3599,138691,336035,41.23,2008
kasur,NA-139,pakistan peoples party parlimentarian,28732,100130,3058,103188,266294,38.75,2002
sahiwal,NA-161,pakistan peoples party parlimentarian,38962,128909,6104,135661,236482,57.36,2008
kasur,NA-139,independent,152,100130,3058,103188,266294,38.75,2002
sheikhupura,NA-134,muttahida qaumi movement,117,146443,5605,151990,250183,60.75,2013
rawalpindi,NA-54,pakistan peoples party parlimentarian,31491,82292,1488,83780,209619,39.97,2002
hafizabad,NA-103,independent,341,162738,4852,165135,259256,63.69,2013
rawalpindi,NA-51,jamiat ulama-e-islam (f),412,239527,5815,245342,452466,54.22,2013
dera,NA-190,tehreek-e-labbaik pakistan,6343,0,0,0,0,51.66,2018
gujranwala,NA-95,independent,39,166280,2961,169135,318739,53.06,2013
dera ghazi khan,NA-173,muttahidda majlis-e-amal,1559,134657,5384,140021,334228,41.89,2008
jhang,NA-89,independent,908,125421,5028,129838,312773,41.51,2008
gujrat,NA-107,independent,98,207167,4385,211081,400622,53.0,2013
gujranwala,NA-80,muttahida majlis-e-amal pakistan,2112,0,0,0,0,53.36,2018
karachi,NA-251,muttahidda majlis-e-amal,22045,77719,119,77838,210491,37.0,2002
narowal,NA-116,jamaat-e-islami pakistan,876,146223,5351,151574,271905,55.74,2013
shangla,NA-31,mohajir qaumi movement pakistan,134,92744,4093,93978,296723,31.67,2013
lahore,NA-123,pakistan muslim league (n),97193,203871,3503,207374,405583,51.13,2018
gujranwala,NA-80,independent,378,0,0,0,0,53.36,2018
rajanpur,NA-175,independent,69030,116506,3504,120010,292109,41.08,2002
peshawar,NA-4,awami national party,31598,80806,1604,79728,260335,30.62,2008
sukkurcumshikarpur,NA-198,independent,125,126678,4496,131108,254082,52.0,2013
lahore,NA-125,pakistan muslim league,13702,110246,1471,111707,311540,35.86,2008
tribal,NA-45,independent,47,0,0,0,0,35.01,2018
jhang,NA-89,tehrik-e-istaqlal,14,112947,3525,116472,244542,47.63,2002
tribal area,NA-42,independent,12360,30472,694,31166,122373,25.47,2002
faisalabad,NA-106,independent,490,0,0,0,0,58.92,2018
jhangiiiold na jhang,NA-91,pakistan peoples party parlimentarian,768,183806,6247,189251,279042,67.82,2013
tribal,NA-51,awami national party,2399,0,0,0,0,41.89,2018
tribal,NA-49,independent,56,0,0,0,0,20.71,2018
pakpattan,NA-146,independent,92,0,0,0,0,59.55,2018
tribal area,NA-46,independent,64,16896,142,0,0,0.0,2013
mardan,NA-22,pakistan tehreek-e-insaf,58577,195463,5594,201057,389688,51.59,2018
korangi,NA-239,independent,125,0,0,0,0,42.41,2018
shangla,NA-10,independent,247,0,0,0,0,34.27,2018
gujranwala,NA-98,independent,935,201776,6170,206591,363205,56.88,2013
dera,NA-38,independent,358,0,0,0,0,54.82,2018
lahore,NA-128,independent,380,0,0,0,0,55.21,2018
karachi,NA-256,pakistan tehreek-e-insaf,89850,198866,3118,201984,489665,41.25,2018
lahore,NA-119,independent,83,75965,971,76936,280155,27.46,2002
narowal,NA-115,independent,27316,100282,4559,104841,237486,44.15,2002
daduii old dadu,NA-233,pakistan muslim league (n),60,134071,2990,136667,438137,31.19,2008
gujrat,NA-105,pakistan muslim league,78171,199918,4492,203864,394060,51.73,2013
rawalpindi,NA-53,independent,45,237097,0,236524,382115,61.9,2013
faisalabad,NA-80,pakistan muslim league (n),96039,198111,7743,205706,343277,59.92,2013
faisalabad,NA-80,independent,276,138897,3896,142793,260300,54.75,2008
gujranwala,NA-95,independent,39,166280,2961,169135,318739,53.06,2013
attock,NA-59,pakistan tehreek-e-insaf,33721,191704,7137,198841,309334,64.0,2013
karak,NA-15,independent,21002,110588,2636,113127,291693,38.78,2008
lahore,NA-122,muttahidda majlis-e-amal,84,116359,1653,118060,331381,35.62,2008
bhakkar,NA-73,pakistan peoples party parlimentarian,3223,217179,13256,230052,336765,68.31,2013
mandi bahauddin,NA-109,independent,452,210501,6445,212922,384637,55.36,2013
multan,NA-153,pakistan tehreek-e-insaf,844,139293,2823,142116,301449,47.14,2002
tank,NA-37,independent,56,0,0,0,0,43.7,2018
karachi,NA-258,labour party pakistan(krandi),164,106656,2233,108889,263393,41.3,2002
dera,NA-38,tehreek-e-labbaik pakistan,6122,0,0,0,0,54.82,2018
faisalabad,NA-107,pakistan tehreek-e-insaf,126441,245950,3344,249294,433402,57.52,2018
toba tek singh,NA-94,independent,67603,170131,4818,174949,344077,50.85,2002
pishin cum ziarat,NA-261,pakistan muslim league (q),12914,71016,4045,75061,270777,27.7,2002
islamabad,NA-49,pakistan muslim league,34546,135591,983,136573,242877,56.23,2008
narowal,NA-116,pakistan muslim league (n),91409,146223,5351,151574,271905,55.74,2013
khuzdar,NA-269,independent,17609,58663,4201,62852,186598,33.68,2008
sargodha,NA-91,pakistan muslim league (n),110525,265560,6733,272293,457921,59.45,2018
chitral,NA-32,pakistan muslim league (q),23907,81415,2572,83987,170954,49.13,2002
lahore,NA-130,pakistan quami yakjehti party,414,0,0,0,0,52.99,2018
lower dir,NA-34,independent,185,149331,5364,152181,504694,30.15,2013
toba tek singh,NA-94,independent,253,242627,8291,246020,385561,63.8,2013
islamabad,NA-48,pakistan muslim league (q),3915,87601,626,88227,187426,47.07,2002
sukkur cum shikarpur,NA-198,independent,51,107595,2465,110038,265679,41.41,2008
kohat,NA-14,pakistan tehreek-e-insaf,68129,170165,5600,174912,409775,42.68,2013
rawalpindi,NA-50,independent,370,247047,7316,252679,442458,57.1,2013
rawalpindi,NA-52,millat party,0,255828,4329,259631,455186,57.04,2013
khairpur,NA-209,pakistan peoples party parlimentarian,95921,177514,9792,187306,334825,55.94,2018
sheikhupura,NA-131,independent,211,152243,4688,156911,273993,55.56,2013
pishin cum ziarat,NA-261,pakistan peoples party parlimentarian,200,71016,4045,75061,270777,27.7,2002
dadu,NA-234,pakistan peoples party parlimentarian,96038,181763,6571,188334,373589,50.41,2018
gujranwala,NA-97,independent,233,113526,3563,117159,344369,34.02,2008
pakpattan,NA-146,independent,243,0,0,0,0,59.55,2018
lakki marwat,NA-27,independent,697,123547,3874,126515,266658,47.44,2008
vehari,NA-162,tehreek-e-labbaik pakistan,10464,0,0,0,0,55.91,2018
bahawalpur,NA-186,pakistan muslim league,61403,192519,5709,197717,310421,63.69,2013
multan,NA-149,independent,105,87083,1168,88251,316900,27.85,2002
sargodha,NA-66,independent,52,212172,3065,214460,384131,56.83,2013
lahore,NA-123,independent,101,173676,2155,175830,347941,50.53,2013
tribal area,NA-46,independent,70,16896,142,0,0,0.0,2013
islamabad,NA-49,independent,74,214364,1406,216008,334241,64.36,2013
muzaffargarh,NA-182,pakistan peoples party parlimentarian,53054,197599,6491,204090,334653,60.99,2018
gujranwala,NA-96,muttahidda majlis-e-amal,2600,100373,2178,102551,345090,29.7,2008
narowal,NA-116,independent,45097,114350,6537,120887,224956,53.73,2008
gujranwala,NA-79,pakistan muslim league (n),142545,291214,4960,296174,541848,54.66,2018
khairpur,NA-215,pakistan peoples party parlimentarian,62447,113319,2781,116100,302490,38.4,2002
bahawalnagar,NA-191,pakistan muslim league (z),55109,152350,3011,155361,303421,51.2,2002
dera,NA-192,pakistan tehreek-e-insaf,80522,160360,5632,165992,302437,54.88,2018
malakand,NA-8,qaumi watan party,1156,0,0,0,0,48.24,2018
muzaffargarh,NA-184,tehreek-e-labbaik islam,1167,0,0,0,0,58.52,2018
chinioti old  na jhang,NA-86,independent,78,178119,5827,183946,289317,63.58,2013
mianwali,NA-71,pakistan muslim league (n),2087,162464,5468,167812,330173,50.82,2008
thatta,NA-238,pakistan peoples party (shaheed bhutto),243,116369,2770,119139,286897,41.5,2002
lahore,NA-118,muttahida qaumi movement,93,92862,1758,94620,250850,37.7,2008
jhangii old na jhang,NA-90,independent,96,152655,7256,159911,238856,66.67,2013
sargodha,NA-90,muttahida majlis-e-amal pakistan,7947,0,0,0,0,52.97,2018
killa,NA-262,pakistan pakhtoonkhawa milli awami party,35385,85585,3521,89106,265538,33.6,2002
sahiwal,NA-149,national party,170,0,0,0,0,56.92,2018
okara,NA-144,independent,376,0,0,0,0,57.42,2018
gujranwala,NA-96,independent,28,100373,2178,102551,345090,29.7,2008
upper dircumlower din old upper dir,NA-33,pakistan tehreek-e-insaf,15397,115473,4360,118279,368035,32.14,2013
faisalabad,NA-75,pakistan muslim league (n),31283,131722,3243,134965,297842,45.31,2002
toba tek singh,NA-93,muttahida qaumi movement,241,221817,5795,227220,352845,64.4,2013
sargodha,NA-66,pakistan muslim league (n),133085,212172,3065,214460,384131,56.83,2013
tribal area,NA-45,independent,2662,19698,348,20046,91361,21.94,2002
charsadda,NA-23,pakistan tehreek-e-insaf,59371,169290,6779,176069,417386,42.18,2018
sahiwal,NA-160,pakistan muslim league (n),99553,181987,5042,186361,306875,60.73,2013
peshawar,NA-4,mutahida deeni mahaz,1519,138555,3707,142160,352416,40.34,2013
islamabad,NA-48,independent,33,104409,548,104902,239924,43.72,2008
gujrat,NA-69,independent,213,0,0,0,0,46.6,2018
hyderabad,NA-225,pakistan peoples party parlimentarian,81983,140421,5560,145981,303478,48.1,2018
tribal area,NA-36,independent,5270,22873,390,23263,126007,18.15,2008
tribal area,NA-43,independent,7428,14910,392,15302,119088,12.849,2008
lahore,NA-120,independent,20,151403,2031,153328,295826,51.85,2013
sheikhupura,NA-122,independent,6466,0,0,0,0,57.83,2018
loralaicummusakhelcumbarkhan old loralai,NA-263,pakistan muslim league (n),34985,137762,4405,141854,349596,40.58,2008
tribal area,NA-41,independent,25,26188,844,27032,86598,31.22,2002
khuzdar,NA-269,independent,190,56409,2621,59030,252902,23.34,2002
rawalpindi,NA-61,muttahida majlis-e-amal pakistan,3899,0,0,0,0,51.38,2018
sukkurcumshikarpur,NA-198,pakistan tehreek-e-insaf,8584,126678,4496,131108,254082,52.0,2013
nankana sahibicumsheikhupura old sheikhupura,NA-135,independent,50,161938,6870,168588,285289,59.09,2013
gujrat,NA-68,tehreek-e-labbaik pakistan,43831,0,0,0,0,53.01,2018
bhakkar,NA-98,pakistan tehreek-e-insaf,138307,287382,7705,295087,434072,67.98,2018
lodhran,NA-154,independent,99,226619,9904,235938,370150,67.4,2013
sangharii old sanghar,NA-236,pakistan peoples party parlimentarian,90311,141232,3442,144371,286317,50.0,2008
mansehra,NA-20,pakistan muslim league (q),40853,117395,3379,120774,327352,36.89,2002
bannu,NA-26,muttahidda majlis-e-amal,78886,112496,2108,114604,297451,38.53,2002
lahore,NA-127,independent,1053,93052,1338,94390,279080,33.82,2008
gujrat,NA-107,independent,689,158143,5399,163542,308463,53.02,2002
karach,NA-257,independent,98,195113,2970,196272,371013,52.9,2013
gujrat,NA-104,pakistan muslim league (f),471,200095,6453,206191,374975,54.99,2013
karachi,NA-253,independent,17,152843,2744,156342,398527,39.22,2008
pakpattan,NA-164,pakistan peoples party parlimentarian,26315,113109,4886,117995,201597,58.55,2008
muzaffargarh,NA-186,tehreek-e-labbaik pakistan,9619,0,0,0,0,60.12,2018
matiaricumhyderabad old hyderabad,NA-218,pakistan peoples party parlimentarian,97717,127049,3414,130319,264345,49.29,2008
toba tek singh,NA-92,pakistan national muslim league,36871,216146,8058,218731,354476,60.7,2013
gujrat,NA-70,tehreek-e-labbaik pakistan,21276,0,0,0,0,49.74,2018
lahore,NA-125,allah-o-akbar tehreek,2839,0,0,0,0,0.0,2018
kohistan,NA-23,independent,7915,39592,1012,40604,251512,16.14,2002
tribal area,NA-39,independent,37,49126,381,49463,123335,40.1,2008
sahiwal,NA-160,independent,2981,124168,3699,127082,248573,51.12,2008
sukkur,NA-198,pakistan peoples party parlimentarian,35291,82245,1665,83910,238761,35.1,2002
rawalpindi,NA-50,pakistan tehreek-e-insaf,47210,247047,7316,252679,442458,57.1,2013
karachi,NA-248,nizam-e-mustafa party,54,71494,1100,72594,225479,32.2,2002
swabi,NA-12,muttahidda majlis-e-amal,1462,108846,3041,111398,283709,39.26,2008
mansehra,NA-21,pakistan muslim league,31774,0,0,0,424342,0.0,2008
karak,NA-34,independent,13608,0,0,0,0,49.69,2018
lahore,NA-134,pakistan muslim league (n),76291,141597,2995,144592,270783,53.4,2018
awarancumlasbela,NA-270,pakistan muslim league,50476,92398,4986,97197,247737,39.23,2008
mansehra,NA-21,muttahidda majlis-e-amal,36629,0,0,0,424342,0.0,2008
kasuricumlahore,NA-138,independent,7448,182053,6305,187843,282555,66.5,2013
kasur,NA-139,pakistan tehreek-e-insaf,112893,0,0,0,0,59.99,2018
narowal,NA-78,pakistan muslim league (n),159651,277819,6437,284256,516249,55.06,2018
tribal area,NA-38,mohajir qaumi movement pakistan,0,0,0,0,0,0.0,2013
tribal area,NA-37,independent,1,93968,518,94484,162660,58.09,2013
mianwali,NA-95,pakistan tehreek-e-insaf,163538,244695,8177,252872,465740,54.29,2018
larkana,NA-205,independent,104,90414,2219,92633,272435,34.0,2002
faisalabad,NA-80,pakistan muslim league,56724,138897,3896,142793,260300,54.75,2008
shangla,NA-31,muttahidda majlis-e-amal,25960,60085,1677,61762,225373,27.4,2002
peshawar,NA-2,independent,162,141790,2408,142031,336122,43.45,2013
lower,NA-7,independent,185,0,0,0,0,44.22,2018
mbdin,NA-109,pakistan muslim league,67489,165013,4725,169735,309950,55.0,2008
tribal area,NA-40,independent,396,77113,857,77970,160666,48.52,2013
faisalabad,NA-75,independent,138,198540,3841,198044,321768,61.54,2013
lahore,NA-118,pakistan sunni tehreek,686,166084,3171,169137,334256,50.6,2013
islamabad,NA-48,pakistan brohi party,98,173189,1042,173968,292142,59.55,2013
lodhran,NA-154,pakistan muslim league (q),94651,173115,3687,176802,325493,54.32,2002
nowshera,NA-5,pakistan muslim league (n),4229,94570,2701,97234,263153,37.0,2008
karachi,NA-250,independent,56,101731,2445,104179,344657,30.22,2008
jhelum,NA-63,national alliance,3189,142818,4589,147407,294278,50.09,2002
tribal area,NA-45,pakistan tehreek-e-insaf,9198,69541,1007,69868,175036,39.92,2013
khushab,NA-94,pakistan tehreek-e-insaf,93864,229094,8757,237851,399794,59.49,2018
okara,NA-143,pakistan muslim league (n),142988,246272,5926,252198,433216,58.22,2018
faisalabad,NA-75,independent,216,198540,3841,198044,321768,61.54,2013
lodhran,NA-155,independent,85452,219036,8376,227360,356995,63.69,2013
sargodha,NA-92,pakistan tehreek-e-insaf,65406,0,0,0,0,56.81,2018
rahimyar khan,NA-192,pakistan muslim league (f),40131,155267,4349,159615,400697,39.84,2008
rawalpindi,NA-51,pak wattan party,533,175867,3320,179187,345475,51.87,2002
faisalabad,NA-82,muttahidda majlis-e-amal,120,132853,2239,135080,287186,47.0,2008
karachi,NA-247,independent,57,0,0,0,0,40.27,2018
sheikhupura,NA-131,pakistan muslim league (n),35469,104669,3847,108516,257446,42.15,2002
karachi,NA-241,mohajar qaumi movement pakistan,649,73634,924,74558,201562,37.0,2002
nausheroferoze,NA-212,pakistan peoples party parlimentarian,76470,139613,3172,142785,324754,44.0,2002
karach,NA-245,independent,9,196546,12006,208313,382932,54.28,2013
rawalpindi,NA-52,independent,85,255828,4329,259631,455186,57.04,2013
karachi,NA-240,awami national party,1815,86444,892,87336,222359,39.3,2002
jhelum,NA-67,independent,79,0,0,0,0,51.87,2018
swabi,NA-18,independent,2606,0,0,0,0,43.39,2018
jhangi old na jhang,NA-89,independent,924,168977,4441,171418,290555,59.0,2013
lakki marwat,NA-27,independent,675,169216,5277,174492,330921,53.0,2013
naushahro,NA-212,pakistan peoples party parlimentarian,90266,194091,7976,202067,369531,54.68,2018
sawabi,NA-12,muttahidda majlis-e-amal,53825,86830,2009,88839,236270,37.6,2002
zhob cum killa saifullah,NA-264,muttahidda majlis-e-amal,20381,47703,2879,50582,198124,25.5,2002
okara,NA-143,independent,98,171535,6995,171239,272742,62.78,2013
mardan,NA-20,pakistan tehreek-e-insaf,78140,187360,7075,194435,430538,45.16,2018
rawalpindi,NA-55,all pakistan muslim league,24,177341,2524,179731,324022,55.47,2013
faisalabad,NA-84,pakistan muslim league (n),33455,89310,1571,90881,257162,35.34,2002
sheikhupura,NA-120,tehreek-e-labbaik pakistan,35453,0,0,0,0,59.35,2018
tribal area,NA-46,independent,15,22248,195,22443,94208,23.8,2008
bahawalpur,NA-173,pakistan peoples party parlimentarian,44892,0,0,0,0,56.02,2018
faisalabad,NA-79,independent,94,192563,7322,190941,335868,56.85,2013
karachi,NA-250,muttahida qaumi movement,52045,101731,2445,104179,344657,30.22,2008
islamabad,NA-48,pakistan muslim league (n),52205,173189,1042,173968,292142,59.55,2013
pakpattan,NA-166,pakistan tehreek-e-insaf,482,121210,3259,124469,249043,49.98,2002
abbottabad,NA-16,independent,201,0,0,0,0,49.84,2018
tribal area,NA-38,independent,0,0,0,0,0,0.0,2013
gujrat,NA-71,independent,36899,0,0,0,0,50.87,2018
peshawar,NA-1,independent,313,88325,629,88913,387083,22.97,2008
tando allahyarcummatiari old hyderabad,NA-223,independent,108,130876,4694,135635,276836,48.99,2008
jacobabad,NA-210,national alliance,82810,132036,5331,137367,289394,47.5,2002
multan,NA-148,pakistan peoples party parlimentarian,76606,125248,1767,127015,284014,44.72,2002
gujranwala,NA-101,independent,7169,143821,4897,148718,302628,49.14,2002
rahimyar khan,NA-195,independent,228,102918,1390,144889,335006,43.24,2008
tribal area,NA-47,independent,4131,48139,457,48217,121265,39.76,2013
layyah,NA-181,pakistan muslim league (n),56951,163166,4241,167325,263128,63.59,2008
sialkot,NA-111,pakistan sunni tehreek,547,222298,5508,227587,399981,56.89,2013
karachi,NA-258,independent,967,169235,2572,171807,418663,41.03,2008
bahawalnagar,NA-189,pakistan muslim league (n),95060,178630,6829,185241,309222,59.88,2013
tribal area,NA-46,independent,9,16896,142,0,0,0.0,2013
tribal area,NA-41,independent,8177,30640,600,31240,94077,33.2,2008
abbottabad,NA-16,independent,275,0,0,0,0,49.84,2018
gujranwala,NA-95,pakistan peoples party parlimentarian,44034,107847,2113,109921,328711,33.4,2008
peshawar,NA-1,mutahida deeni mahaz,4827,145924,2103,146044,320578,46.18,2013
lahore,NA-121,muttahidda majlis-e-amal,30326,80232,1686,81918,256605,31.92,2002
lahore,NA-130,independent,538,157391,3960,158657,290930,54.76,2013
lahore,NA-120,independent,58,71987,819,72806,232800,31.27,2002
tando muhammad khancumhyderabadcumbadin old h,NA-222,pakistan peoples party parlimentarian,84041,113490,2200,116451,318867,36.52,2008
rawalpindi,NA-51,pakistan peoples party parlimentarian,80247,206717,3503,211893,390375,54.28,2008
mansehra,NA-14,tehreek-e-labbaik pakistan,6290,0,0,0,0,41.49,2018
mardan,NA-11,awami national party,11506,132539,3970,136212,329285,42.0,2013
bahawalpur,NA-185,pakistan muslim league (q),14396,100602,2683,103285,274790,37.59,2002
lakki marwat,NA-27,muttahidda majlis-e-amal,65938,107109,2078,109187,234619,46.54,2002
bahawalpur,NA-184,independent,1043,134088,1736,135823,321784,42.2,2008
sheikhupura,NA-131,independent,68,123186,1100,124286,221111,56.2,2008
bahawalpur,NA-187,pakistan muslim league (z),308,131164,2432,133596,264580,50.5,2002
tribal,NA-44,independent,1886,0,0,0,0,25.32,2018
tribal area,NA-40,jamiat ulama-e-islam (f),12233,77113,857,77970,160666,48.52,2013
gujranwala,NA-81,independent,87,0,0,0,0,50.58,2018
hyderabad,NA-226,independent,588,0,0,0,0,39.59,2018
