District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
sanghar,NA-216,pakistan peoples party parlimentarian,80752,158621,9581,168202,291935,57.62,2018
rahimyar khan,NA-193,pakistan muslim league (q),41671,113979,3605,117584,280047,41.99,2002
mianwal,NA-71,pakistan peoples party parlimentarian,924,216394,7988,222919,386930,57.61,2013
tribal area,NA-45,pakistan tehreek-e-insaf,9198,69541,1007,69868,175036,39.92,2013
tribal,NA-42,independent,2137,0,0,0,0,0.0,2018
multan,NA-156,pakistan tehreek-e-insaf,116272,218738,3039,221777,444724,49.87,2018
karachi,NA-256,sunni tehreek,3409,90810,873,91683,261912,35.0,2002
faisalabad,NA-109,pakistan tehreek-e-insaf,122905,239769,4472,244241,420767,58.05,2018
kasur,NA-140,independent,6143,133167,2350,130004,230446,56.41,2008
okara,NA-143,independent,2122,171535,6995,171239,272742,62.78,2013
tribal area,NA-39,pakistan tehreek-e-insaf,3805,47602,231,47833,125687,38.05,2013
charsadda,NA-8,pakistan mazdoor kissan party,962,62739,1673,64412,217430,29.62,2002
faisalabad,NA-78,independent,950,177008,12488,188935,301973,62.57,2013
tribal,NA-44,independent,114,0,0,0,0,25.32,2018
gujrat,NA-71,pakistan peoples party parlimentarian,1738,0,0,0,0,50.87,2018
tribal area,NA-38,independent,17,16046,304,16350,95484,17.12,2002
karachi,NA-251,independent,20,77719,119,77838,210491,37.0,2002
tribal,NA-47,independent,118,0,0,0,0,32.87,2018
karachi,NA-240,muttahida qaumi movement,67799,130737,142,130896,279723,46.79,2008
tribal area,NA-41,independent,52,30640,600,31240,94077,33.2,2008
islamabad,NA-48,independent,45,173189,1042,173968,292142,59.55,2013
gujranwala,NA-84,pakistan muslim league (n),119612,243240,7942,251182,437879,57.36,2018
tribal area,NA-46,independent,4135,16896,142,0,0,0.0,2013
tribal area,NA-42,independent,5027,30472,694,31166,122373,25.47,2002
mardan,NA-11,independent,267,132539,3970,136212,329285,42.0,2013
rawalpindi,NA-50,pakistan peoples party parlimentarian,77978,206356,4582,207845,403566,51.5,2008
muzaffargarh,NA-178,pakistan muslim league (q),60386,123451,3856,127307,273899,46.48,2002
okara,NA-143,independent,317,117484,3422,120906,243777,49.6,2002
tribal area,NA-47,independent,24,48139,457,48217,121265,39.76,2013
tribal,NA-50,independent,78,0,0,0,0,33.0,2018
quettacumchagaicumnushki old quettacumchaga,NA-260,muttahidda majlis-e-amal,19450,100597,4175,103513,398782,25.95,2008
faisalabad,NA-85,awami workers party,1090,197858,2496,200354,331974,60.35,2013
vehari,NA-165,pakistan tehreek-e-insaf,99287,213822,4170,217992,386581,56.39,2018
lodhran,NA-155,muttahida qaumi movement,662,219036,8376,227360,356995,63.69,2013
upper,NA-5,muttahida majlis-e-amal pakistan,57657,0,0,0,0,48.26,2018
khairpur,NA-208,pakistan peoples party parlimentarian,107847,172473,8747,181220,356243,50.87,2018
tribal,NA-48,jamiat ulama-e-islam pakistan (s),2436,0,0,0,0,23.32,2018
bahawalpur,NA-187,independent,88,184456,6076,190232,282844,67.26,2013
swat,NA-30,tehreek-e-pasmanada awam pakistan,1592,158098,7228,165325,460748,35.88,2013
sibi cum kolhu cum dera bugti,NA-265,pakistan tehreek-e-insaf,505,141608,2502,144110,308704,46.7,2002
faisalabad,NA-84,jamaat-e-islami pakistan,2252,180364,4509,184873,308900,59.84,2013
sialkot,NA-112,pakistan muslim league (n),41251,153701,5400,159101,324531,49.02,2002
lahore,NA-127,pakistan awami tehreek,24949,78316,1552,79868,237065,33.69,2002
hyderabadii old hyderabad,NA-220,muttahida qaumi movement,147040,174781,1866,177070,364798,48.53,2008
tribal,NA-46,independent,38,0,0,0,0,43.17,2018
matiari,NA-223,independent,2000,0,0,0,0,54.06,2018
jhangi old na jhang,NA-89,mutahida deeni mahaz,71598,168977,4441,171418,290555,59.0,2013
swab,NA-12,independent,852,152455,4094,155163,351675,44.12,2013
kasur,NA-138,pakistan tehreek-e-insaf nazriati,475,0,0,0,0,62.38,2018
sheikhupura,NA-134,independent,41103,146443,5605,151990,250183,60.75,2013
rahimyar khan,NA-193,independent,425,113979,3605,117584,280047,41.99,2002
peshawar,NA-4,pakistan muslim league (n),20412,138555,3707,142160,352416,40.34,2013
swab,NA-12,awami jamhuri ittehad pakistan,56680,152455,4094,155163,351675,44.12,2013
karachi,NA-254,pakistan tehreek-e-insaf,75702,196063,2834,198897,507438,39.2,2018
tribal,NA-47,pakistan peoples party parlimentarian,1981,0,0,0,0,32.87,2018
sawat,NA-30,pakistan pakhtoonkhawa milli awami party,2134,99169,3134,102303,315636,32.41,2002
jamshoro old dadu,NA-231,independent,862,181157,5114,186259,492758,37.79,2008
gujrat,NA-107,independent,1014,207167,4385,211081,400622,53.0,2013
islamabad,NA-54,independent,47,0,0,0,0,54.24,2018
rawalpindi,NA-61,allah-o-akbar tehreek,913,0,0,0,0,51.38,2018
tribal area,NA-41,independent,33,37461,706,0,92719,0.0,2013
tribal area,NA-37,independent,32,41321,711,42032,138559,30.34,2002
faisalabad,NA-79,pakistan muslim league (q),61150,142335,2447,144782,310492,46.63,2002
peshawar,NA-2,independent,156,141790,2408,142031,336122,43.45,2013
attock,NA-59,pakistan muslim league (n),23640,156228,4150,160104,263849,60.68,2008
mirpur khascumumerkot,NA-226,independent,9022,185828,7256,192042,329640,58.26,2013
sukkur,NA-207,independent,66,0,0,0,0,46.47,2018
lahore,NA-130,pakistan peoples party parlimentarian,46095,84078,2108,86186,232372,37.09,2002
nowshera,NA-6,muttahidda majlis-e-amal,33242,65993,2467,68460,194949,35.12,2002
tribal area,NA-43,pakistan tehreek-e-insaf,6948,42901,1378,44051,168514,26.14,2013
sheikhupura,NA-122,pakistan muslim league (n),96000,263515,7574,271089,468778,57.83,2018
lahore,NA-122,independent,104,116359,1653,118060,331381,35.62,2008
tribal area,NA-36,independent,4635,53017,66,53083,179304,29.92,2013
nowshera,NA-26,independent,562,0,0,0,0,49.87,2018
dera ismail khan,NA-24,independent,91,220433,10510,219518,390996,56.14,2013
tribal area,NA-46,independent,138,16896,142,0,0,0.0,2013
nowshera,NA-25,pakistan tehreek-e-insaf,82118,179039,5858,184897,378941,48.79,2018
lakki marwat,NA-27,pakistan muslim league,61303,123547,3874,126515,266658,47.44,2008
karachi,NA-241,mohajar qaumi movement pakistan,649,73634,924,74558,201562,37.0,2002
karachi,NA-245,muttahida qaumi movement,51696,102481,1106,103587,255754,40.5,2002
mirpurkhascumumerkot,NA-227,independent,97,169915,10549,179102,299736,59.75,2013
lahore,NA-121,pakistan muslim league,7559,108453,1861,109989,303962,36.18,2008
kasur,NA-140,independent,73,133167,2350,130004,230446,56.41,2008
layyah,NA-181,pakistan muslim league (n),56490,153254,5653,158907,275563,57.67,2002
bahawalnagar,NA-167,independent,22041,0,0,0,0,56.81,2018
tribal area,NA-47,independent,676,34627,414,35041,120963,28.97,2002
lahore,NA-118,independent,55,166084,3171,169137,334256,50.6,2013
chakwal,NA-61,independent,37978,148918,3494,226985,395039,38.42,2008
peshawar,NA-4,independent,1852,138555,3707,142160,352416,40.34,2013
toba tek singh,NA-92,pakistan muslim league,69827,169210,4126,172541,286827,60.15,2008
khushab,NA-94,pakistan tehreek-e-insaf,93864,229094,8757,237851,399794,59.49,2018
tribal area,NA-44,independent,170,58959,1502,60000,185040,32.43,2013
muzaffargarh,NA-176,pakistan muslim league (n),88322,205915,9337,210934,338237,62.0,2013
mansehra,NA-14,independent,362,0,0,0,0,41.49,2018
chitral,NA-32,jamiat ulama-e-islam (f),15928,124946,6574,131520,208810,63.66,2013
lahore,NA-128,independent,64,220114,3174,220976,418384,64.0,2013
faisalabad,NA-82,awami justice party pakistan,117,200368,2805,203173,343634,59.12,2013
jhelum,NA-67,tehreek-e-labbaik pakistan,16286,0,0,0,0,51.87,2018
rawalpindi,NA-58,pakistan peoples party parlimentarian,125090,328150,10582,338732,629386,53.82,2018
haripur,NA-19,pakistan muslim league (j),5956,199787,6277,206064,453508,45.44,2002
swabi,NA-13,awami national party,26603,102720,2685,105380,287549,36.65,2008
rawalpindi,NA-56,muttahida qaumi movement,180,107633,1848,109481,312220,35.06,2008
sheikhupura,NA-119,pakistan tehreek-e-insaf,110231,229687,4931,234618,418637,56.04,2018
jacobabad old jacobabad,NA-208,independent,85,111131,6489,111173,257664,43.14,2013
jafarabad,NA-261,pakistan tehreek-e-insaf,45222,110593,10255,120848,310782,38.89,2018
faisalabad,NA-84,independent,44,112068,1805,113223,249391,45.4,2008
lahore,NA-134,pakistan peoples party parlimentarian,5425,0,0,0,0,53.4,2018
gujrat,NA-105,independent,51,199918,4492,203864,394060,51.73,2013
korangi,NA-241,pakistan rah-e-haq party,2284,0,0,0,0,36.28,2018
tharparkar,NA-229,independent,1382,122560,3054,125614,250983,50.0,2002
bahawalnagar,NA-191,pakistan peoples party parlimentarian,45478,152350,3011,155361,303421,51.2,2002
tribal area,NA-38,independent,3427,16046,304,16350,95484,17.12,2002
tribal,NA-45,independent,204,0,0,0,0,35.01,2018
karak,NA-34,pakistan tehreek-e-insaf,77181,194588,6387,200975,404458,49.69,2018
quetta,NA-265,independent,52,0,0,0,0,36.79,2018
mirpurkhas,NA-226,muttahidda majlis-e-amal,5610,115311,2519,117830,261129,45.1,2002
rawalpindi,NA-54,independent,23,104501,1214,104499,271396,38.5,2008
khanewal,NA-158,pakistan muslim league (n),94050,201234,4728,205058,323568,61.77,2013
hyderabad,NA-221,qaumi jamhoori party,617,68266,1466,69732,223681,31.2,2002
lahore,NA-126,pakistan muslim league (n),69718,119684,1156,119748,360304,33.2,2008
shikarpur,NA-199,grand democratic alliance,62785,137036,8011,145047,291567,49.75,2018
tribal,NA-50,independent,17,0,0,0,0,33.0,2018
mardan,NA-10,jamaat-e-islami pakistan,19107,157463,4834,161347,321660,51.0,2013
tribal area,NA-37,jamiat ulama-e-islam (f),47,93968,518,94484,162660,58.09,2013
lahore,NA-120,pakistan muslim league (n),33741,71987,819,72806,232800,31.27,2002
karak,NA-15,independent,75,95644,1780,97424,251508,38.74,2002
attock,NA-56,tehreek-e-labbaik pakistan,62257,0,0,0,0,52.5,2018
muzaffargarh,NA-178,pakistan peoples party parlimentarian,53817,120939,1222,122161,283523,43.08,2008
kasur,NA-139,independent,4540,182988,5734,188869,301506,62.0,2013
chakwal,NA-65,independent,507,0,0,0,0,57.35,2018
dera,NA-189,independent,3077,0,0,0,0,52.35,2018
faisalabad,NA-77,pakistan muslim league (n),26542,126552,4171,130723,277749,47.07,2002
rawalpindi,NA-53,mutahida deeni mahaz,657,237097,0,236524,382115,61.9,2013
karachi,NA-252,pakistan tehreek-e-insaf,3352,73068,951,74019,222482,33.3,2002
khanewal,NA-153,independent,586,0,0,0,0,61.29,2018
sanghar,NA-234,pakistan muslim league (n),203,116811,3330,120130,230943,52.01,2008
mardan,NA-9,jamaat-e-islami pakistan,4578,148390,3558,151637,336177,45.12,2013
lahore,NA-129,independent,272,0,0,0,0,53.96,2018
thatta,NA-238,muttahidda majlis-e-amal,4699,116369,2770,119139,286897,41.5,2002
lasbela,NA-272,independent,68804,189425,10433,199918,356879,56.02,2018
gujranwala,NA-96,pakistan muslim league (n),61972,100373,2178,102551,345090,29.7,2008
lahore,NA-126,all pakistan muslim league,384,0,0,0,0,52.26,2018
multan,NA-159,independent,1639,0,0,0,0,56.48,2018
tribal area,NA-36,independent,1023,22873,390,23263,126007,18.15,2008
dadu,NA-234,pakistan peoples party parlimentarian,96038,181763,6571,188334,373589,50.41,2018
karak,NA-15,tehrik-e-masawaat,99,159615,4284,162657,314969,51.64,2013
mianwal,NA-72,independent,242,230577,8483,237444,371374,63.69,2013
lahore,NA-125,pakistan muslim league (q),22405,75593,1120,76713,255313,30.05,2002
bahawalpur,NA-185,pakistan muslim league (z),208,100602,2683,103285,274790,37.59,2002
battagram,NA-22,independent,9120,71236,3400,73339,204979,35.78,2013
naushehro feroz,NA-212,pakistan peoples party parlimentarian,93884,189836,7529,196146,312206,62.82,2013
sibicumkohlucumdera bugticumhernaiold sibi,NA-265,independent,310,99592,1720,101312,281867,35.94,2008
karachi,NA-242,muttahida qaumi movement,6393,0,0,0,0,38.56,2018
multan,NA-150,pakistan muslim league (n),57774,126863,1399,126861,399931,31.72,2008
tharparkar,NA-222,pakistan peoples party parlimentarian,106630,222577,12763,235340,331872,70.91,2018
faisalabad,NA-79,independent,684,192563,7322,190941,335868,56.85,2013
gujrat,NA-70,independent,422,0,0,0,0,49.74,2018
abbottabad,NA-15,pakistan muslim league (n),95340,234157,7712,241869,478336,50.56,2018
sargodha,NA-68,pakistan muslim league (n),88967,150109,3585,153694,383743,40.05,2008
tribal area,NA-43,independent,6885,26625,748,27373,114139,23.98,2002
faisalabad,NA-75,independent,58,198540,3841,198044,321768,61.54,2013
buner,NA-28,all pakistan muslim league,610,123029,5188,126255,360019,35.07,2013
lahore,NA-133,independent,36,0,0,0,0,51.89,2018
tribal area,NA-40,independent,378,34638,591,35254,126453,27.87,2008
dadu,NA-231,independent,39320,120746,2422,123168,340793,36.1,2002
mardan,NA-10,pakistan peoples party parlimentarian,15345,157463,4834,161347,321660,51.0,2013
lahore,NA-130,pakistan tehreek-e-insaf,1346,84078,2108,86186,232372,37.09,2002
kohat,NA-32,pakistan tehreek-e-insaf,82248,190658,6685,197343,506699,38.95,2018
attock,NA-58,pakistan muslim league (n),41373,151777,5230,157007,274639,57.17,2002
jhang,NA-116,independent,54176,0,0,0,0,62.15,2018
rahimyar,NA-178,pakistan peoples party parlimentarian,93044,197373,6934,204307,363566,56.2,2018
abbottabad,NA-18,muttahida qaumi movement,154,150979,3843,154603,347770,44.26,2008
gujranwala,NA-96,independent,89,154948,2997,154760,303568,52.0,2013
mardan,NA-9,awami national party,30770,57054,1063,80816,262042,30.8,2008
lahore,NA-123,independent,2,0,0,0,288994,0.0,2008
sialkot,NA-75,pakistan muslim league (n),101617,245754,7269,253023,453104,55.84,2018
swat,NA-4,independent,532,0,0,0,0,39.22,2018
hyderabad,NA-221,pakistan tehreek-e-insaf,285,68266,1466,69732,223681,31.2,2002
peshawar,NA-27,independent,1131,0,0,0,0,45.83,2018
tribal area,NA-40,independent,35,28600,289,28889,96448,29.95,2002
sanghar,NA-234,pakistan muslim league (f),71394,116811,3330,120130,230943,52.01,2008
sanghar,NA-235,pakistan muslim league (f),61671,103472,2341,105813,230238,46.0,2002
karachi,NA-242,muttahida qaumi movement,147892,177030,1812,178842,296822,60.25,2008
sargodha,NA-68,pakistan tehreek-e-insaf,45584,223031,7280,223784,373233,59.96,2013
kasur,NA-139,independent,1229,0,0,0,0,59.99,2018
faisalabad,NA-76,pakistan peoples party parlimentarian,19521,127603,3003,130606,291363,44.83,2002
rahimyar,NA-179,pakistan muslim league (n),88795,0,0,0,0,57.25,2018
attock,NA-59,pakistan peoples party parlimentarian,41674,130217,3401,133618,236272,56.55,2002
haripur,NA-19,independent,1346,288057,8467,295471,531865,55.55,2013
tribal,NA-51,independent,131,0,0,0,0,41.89,2018
kasur,NA-140,tehreek-e-labbaik pakistan,15500,0,0,0,0,60.65,2018
tribal,NA-46,independent,1846,0,0,0,0,43.17,2018
sahiwal,NA-163,national alliance,39312,126936,4070,131006,259416,50.5,2002
karachi,NA-250,pakistan tehreek-e-insaf,36049,146717,3136,149853,400675,37.4,2018
